F1;F2;F3;F4
1021;1023;120;416
1023;1023;31;486
1019;1023;25;504
1005;1023;56;548
980;1023;50;473
965;1023;93;477
989;1023;93;457
944;1023;41;459
976;1023;49;502
973;1023;92;487
955;1023;115;443
996;1023;113;407
989;1023;144;371
925;1023;185;387
944;1005;128;416
945;1004;158;444
959;968;127;467
910;1005;161;462
904;926;177;472
1004;892;211;490
1023;902;179;380
898;941;222;482
874;929;154;482
971;910;167;473
933;932;166;477
864;856;155;530
944;968;173;522
988;909;203;500
937;791;212;454
977;711;229;484
951;745;237;414
930;760;212;431
922;785;210;463
986;840;236;503
961;733;231;487
981;707;189;489
967;710;190;531
948;720;214;466
861;772;255;461
942;678;203;484
933;648;229;508
926;643;241;503
911;655;204;500
892;703;221;493
882;682;205;475
854;612;257;490
905;637;203;518
870;628;121;519
867;602;185;476
926;592;207;545
840;600;203;517
836;626;189;416
859;599;203;459
896;601;198;456
802;611;197;450
821;612;189;468
795;574;162;473
775;634;137;477
797;624;152;484
812;589;161;449
757;646;116;427
787;644;58;411
791;646;72;415
745;638;43;433
773;664;80;424
799;689;71;465
792;669;7;437
746;687;5;414
735;691;2;402
759;699;29;440
787;706;8;471
778;692;15;478
727;725;41;415
763;786;3;428
706;777;0;455
757;727;0;440
735;664;0;436
764;679;0;451
733;674;0;440
677;689;0;463
697;657;0;390
696;711;0;421
752;726;0;487
704;608;0;491
679;616;0;434
680;557;0;468
701;565;0;473
747;600;0;440
751;613;0;418
619;672;0;454
653;648;9;492
688;639;4;533
709;686;5;433
742;689;0;417
759;672;0;441
686;642;0;456
615;651;13;477
655;693;6;492
680;747;3;478
672;724;0;469
710;730;0;441
741;730;0;477
685;785;0;441
625;769;0;460
678;791;0;513
676;774;0;489
687;673;0;510
711;647;0;473
658;701;0;496
668;696;54;532
670;713;12;535
698;781;1;499
716;815;0;521
670;735;0;445
671;723;0;527
644;724;0;483
617;681;0;492
633;712;33;469
732;691;16;492
638;729;1;511
570;774;0;502
578;696;0;509
640;689;0;490
662;728;23;520
685;749;22;551
700;744;9;520
609;700;27;514
618;752;2;524
640;762;0;496
638;699;45;548
670;696;30;533
613;738;29;566
601;732;5;575
618;774;97;548
687;714;53;542
641;743;13;560
581;745;43;522
610;757;66;556
630;793;58;517
620;825;41;596
673;745;56;556
635;755;39;551
592;827;95;565
582;736;118;549
626;711;101;558
